Sem1
001,Toan roi rac,4,MON,s1,THU,s2,Le Van Hop,50,4
1,21470757, Anh, Nguyen Hung, Nam, 3/1/2003, 24883990
2,21389961, Bao, Mai Tung, Nam, 16/05/2003, 24803194
3,21555809, Chi, Vu Diep, Nu, 22/10/2003, 24969042
4,21470415, Dung, Hang An, Nam, 18/03/2003, 24883648
002,Nhap mon lap trinh,4,TUE,s3,FRI,s4,Bui Huy Thong,50,5
1,21701860, Anh, Nguyen Ngoc, Nu, 2/12/2003, 25115093
2,21647182, Binh, Nguyen Tran, Nam, 17/11/2003, 25060415
3,21835786, Dat, Pham Van, Nam, 8/7/2003, 25249019
4,21490525, Duc, Vu Trung, Nam, 3/7/2003, 24903758
5,21062848, Hon, Dang Gia, Nu, 17/09/2003, 24476081
003,Ki nang mem,2,WED,s5,SAT,s1,Luong Vi Minh,50,6
1,21430642, Khue, Ho Nguyen Minh, Nam, 2/6/2003, 24843875
2,21495650, Lam, Pham Vu Diep, Nu, 3/11/2003, 24908883
3,21912992, Lom, Dinh Hang Tung, Nam, 27/01/2003, 25326225
4,21999706, Long, Lo Quang, Nam, 10/1/2003, 25412939
5,21841259, Mai, Pham Thi Phuong, Nu, 17/05/2003, 25254492
6,21809746, Duc, Pho Vu Tro, Nam, 25/01/2003, 25222979
