BANG DIEM MON Toan roi rac
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18051589,Nguyen Thanh,2.7,6.3,6.4,1.3
2,18256427,Vu Minh,6.5,3.1,5.0,0.7
3,18475948,P Phuong,3.4,1.7,2.7,0.5
4,18555477,Nguyen Minh,0.2,6,4.9,0.8
5,18646095,Do Duc,1.9,0.1,0.9,0.2
6,18766277,Pham Tue,0.1,7.3,5.3,0.4
7,18896577,Pham Nhat,2.6,2.3,2.5,0.1
8,18919395,Dao Thao,9.7,2,4.7,0.1
9,18923068,Vu Minh,8.7,8.8,8.8,0.1
10,18203138,Hong Duong,1.8,7.6,6.1,0.4
11,18268423,Duc Anh,0.2,7.3,5.7,0.8
12,18293544,Ngoc Anh,7.6,9.2,9.1,0.4
13,18515647,Hang Gia,1.3,7.7,6.5,0.9
14,18526368,Phuong Anh,7.1,2.9,4.6,0.3
15,18599988,Hang Duy,2.5,3.5,3.9,0.7
16,18726402,Quang Anh,0.6,6.9,5.5,0.7
17,18752186,Phuong Anh,6.3,6.3,7.2,0.9
18,18852264,Diep Anh,9.6,9.5,10.0,0.5
19,21025762,Thanh Huyen,2.5,1.8,2.1,0.1
20,21056759,Duc Huy,2.5,6.5,5.2,0.1
21,21259824,Anh Nhi,1,5.5,4.4,0.4
22,21339701,Ngoc Khang,7.1,3.7,5.2,0.3
23,21430642,Minh Khue,5.1,7.9,7.3,0.3
24,21454718,Duy Thoi,5.3,0.1,2.1,0.3
25,21490525,Trung Duc,2.4,4.3,4.6,1.0
26,21495650,Diep Lam,5.3,5.2,5.5,0.3
27,21582686,Dieu Huong,3.6,2.5,3.1,0.2
28,21622942,Phuong Hai,7.1,2.5,4.8,0.7
29,21647182,Tran Binh,2,4.5,3.8,0.2
30,21701860,Ngoc Anh,1.3,2.3,2.6,0.6
31,21809746,Tro Duc,5.9,1.8,3.5,0.3
32,21837607,Tuan Minh,7.3,5.1,6.8,1.0
33,21996569,Bao Ngoc,7.4,7.7,8.6,1.0
34,21067899,Duc Minh,8.3,1.8,4.6,0.6
35,21131552,Khang Ngoc,4.8,3.3,4.4,0.6
36,21172731,Ngon Anh,2.8,2.2,3.2,0.8
37,21173798,Duc Luong,5,2.7,4.0,0.5
38,21183762,Gia Huy,5,0.3,2.0,0.1
39,21224888,Duc Dat,3.5,3,3.4,0.2
40,21279012,Ngoc Huyen,1.8,7.9,6.8,1.0
41,21282497,Duc Anh,3.6,3.6,3.6,0.0
42,21517373,Thu Trang,3.5,9.9,8.7,1.0
43,21539733,Tung Duong,7.1,1.8,3.9,0.3
44,21587106,Duc Kion,9.5,7.4,8.9,0.8
45,21607738,Quang Hung,7,2,4.2,0.6
46,21608894,Hang Linh,6.7,1.6,3.5,0.2
47,21721558,Duc Thanh,4.2,3.1,3.5,0.2
48,21866175,Xuon Minh,9.2,2.6,4.8,0.9
