BANG DIEM MON Nhap mon lap trinh
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18097312,Nguyen Tien,1.2,3.7,4.6,1.7
2,18330520,Nhat Minh,7,2.1,4.6,0.8
3,18387620,Bui Lam,2.1,5.6,4.8,0.4
4,18455350,Ngu Kim,7,1,4.9,1.9
5,18525770,Vu Trong,9.9,2.3,6.8,1.9
6,18534041,Nguyen Ngon,5.4,8.4,8.5,1.1
7,18559894,An Gia,7.9,6.8,8.2,1.0
8,18822345,Nguyen Anh,4.4,9.8,9.0,1.0
9,18836702,Pham Hai,5,0.8,3.2,1.0
10,18164255,Duy Hung,4.8,1.1,3.6,1.3
11,18279628,Quang Minh,7.6,5.4,7.7,1.5
12,18282876,Quoc Huy,7.4,9.2,8.7,0.1
13,18368243,Ha My,8.8,2.8,5.5,0.7
14,18476380,Khang Linh,3.2,9,8.1,1.0
15,18617534,Duy Hung,6.6,3.4,5.0,0.5
16,18647966,Duong Hang,4.9,6.8,7.4,1.3
17,18699488,Hang Hai,3.9,4.3,5.9,1.7
18,18712577,Von Ha,6.9,2.9,5.2,1.0
19,20014631,Quang Ngoc,3,3.3,5.1,1.9
20,20040855,Phuong Thao,5.8,3.2,5.3,1.3
21,20080431,Thanh Trung,2.4,0.2,2.7,1.8
22,20155337,Dieu Thao,6.5,6.6,7.2,0.6
23,20254616,Khang Vy,0.9,6.9,5.7,0.8
24,20273742,Huong Thao,1,6.7,5.5,0.7
25,20591770,Phuong Thao,9.3,4.7,6.4,0.1
26,20711066,Yen Nhi,6.9,1.3,3.3,0.1
27,20776378,Huyen Thi,4.8,6.3,6.6,0.8
28,20777944,Hang Son,9,1.3,4.6,0.7
29,20890189,Thien Truong,0.9,6.6,5.2,0.5
30,20970532,Cung Thanh,3.9,1.1,3.6,1.5
31,20080431,Thanh Trung,1.3,9.5,7.6,0.8
32,20121773,Minh Thu,0.6,5.2,4.5,0.9
33,20154385,Truong Thinh,3.1,4.2,5.6,1.8
34,20154487,Minh Tro,9.5,3.2,6.2,0.9
35,20228358,Thanh Tai,3.1,9.9,8.3,0.6
36,20254616,Khang Vy,9.9,9.1,9.8,0.4
37,20374529,Thanh Thao,8,3.3,5.1,0.2
38,20377205,Minh Tuong,6.5,6.8,6.9,0.2
39,20425332,Phuc Thinh,7.5,1.8,4.1,0.4
40,20729594,Phuong Vy,7.1,2.9,5.4,1.1
41,20890189,Thien Truong,5.7,1.5,4.1,1.2
42,20947656,Quoc Trung,3.1,6.3,7.1,1.9
43,21053440,Duc Hung,9.3,2.8,5.3,0.3
44,21062848,Gia Hon,9.5,1.8,5.1,0.7
45,21389961,Tung Bao,9.4,6.7,9.3,1.7
46,21555809,Diep Chi,6.5,5.6,6.7,0.8
47,21781492,Phu Sang,9.1,3.2,6.0,0.8
48,21797088,Tien Hung,7.8,3.5,6.5,1.5
49,21841259,Phuong Mai,5.5,9.2,9.4,1.4
50,21885961,Trung Nguyen,9.9,0.3,5.1,1.6
51,21999706,Quang Long,0.1,0.2,1.8,1.7
52,21110346,Quang Dung,5.4,6.2,7.4,1.4
53,21258452,Gia Hon,2.6,2.5,3.8,1.3
54,21323055,Phuong Ngoc,3.4,3.1,4.1,0.9
55,21329105,Hai Minh,4.8,7.2,7.6,1.2
56,21358053,Viet Duc,0.9,4.5,3.5,0.2
57,21376813,Duy Duc,6.9,2.9,5.3,1.0
58,21472735,Minh Tom,8.7,1.9,5.2,1.0
59,21543807,Duy Anh,9.6,5.3,8.6,1.9
60,21660782,Minh Phuong,4.2,4.6,6.2,1.7
61,21800492,Xuon Nam,7.4,1.8,3.9,0.2
62,21820139,Hai Lom,1,1.5,1.4,0.1
63,21826644,Trong Hieu,1.3,1.7,3.3,1.8
64,21972434,Yen Nhi,9.9,6.3,9.3,1.8
