BANG DIEM MON Ki nang mem
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,20194823,Viet Anh,5.8,10,9.8,1.2
2,20351130,Hien Anh,1,5.6,5.2,1.1
3,20356469,Duc Anh,3.8,5.6,5.4,0.4
4,20459666,Hang Anh,5.2,3.2,5.5,1.6
5,20614147,Tuan Anh,7.8,6.9,7.8,0.6
6,20651740,Gia Bao,4.4,9.9,8.3,0.2
7,20662635,Trang Anh,1.4,0.5,2.4,1.6
8,20071941,Ha Linh,2.9,0.4,1.9,0.7
9,20085101,Thuy Linh,9.3,8.6,10.0,1.4
10,20286136,Quoc Huy,6.8,4.3,5.5,0.3
11,20559137,Ngoc Diep,6.3,5,5.9,0.4
12,20608314,Thuy Linh,1.4,8.8,6.8,0.4
13,20777456,Duc Duong,3,2.8,4.6,1.7
14,20916840,Bao Lion,6.2,0.2,3.4,1.2
15,21025762,Thanh Huyen,0.1,2.9,3.5,1.6
16,21056759,Duc Huy,8.7,7.6,8.9,0.9
17,21259824,Anh Nhi,5,4.8,5.5,0.6
18,21339701,Ngoc Khang,5,8.7,9.1,1.6
19,21430642,Minh Khue,6.1,1.5,3.4,0.4
20,21454718,Duy Thoi,2.3,1.9,3.4,1.4
21,21470757,Hung Anh,0.2,7.7,5.7,0.5
22,21490525,Trung Duc,7.5,2,5.4,1.5
23,21495650,Diep Lam,8.1,3.9,6.6,1.3
24,21582686,Dieu Huong,6.9,3.5,4.9,0.3
25,21622942,Phuong Hai,1.7,2.5,4.0,1.7
26,21627532,Thu Huyen,1.6,10,9.0,1.8
27,21647182,Tran Binh,9.3,3.6,6.9,1.4
28,21701860,Ngoc Anh,0.5,2,2.0,0.5
29,21809746,Tro Duc,7.8,2.2,5.4,1.3
30,21837607,Tuan Minh,7,5.7,6.5,0.3
31,21912992,Tung Lom,6.5,0.1,2.9,0.7
32,21996569,Bao Ngoc,0.1,0.5,0.7,0.3
33,21067899,Duc Minh,0.7,0.8,1.8,1
34,21131552,Khang Ngoc,6.3,1,3.2,0.4
35,21172731,Ngon Anh,9.4,2.4,5.2,0.4
36,21173798,Duc Luong,9.5,1.9,5.3,0.9
37,21183762,Gia Huy,2.2,5,4.6,0.6
38,21224888,Duc Dat,6.7,4.8,5.5,0.1
39,21279012,Ngoc Huyen,4.8,1,4.2,2
40,21282497,Duc Anh,7,0.5,4.4,1.7
41,21517162,Quynh Nhu,9.4,5.6,7.2,0.3
42,21517373,Thu Trang,5.8,8.2,7.9,0.5
43,21539733,Tung Duong,8.1,3.5,5.6,0.5
44,21587106,Duc Kion,9.2,7.8,10.0,1.8
45,21604843,Huong Giang,4.3,2.7,4.6,1.4
46,21607738,Quang Hung,5.5,8.9,9.6,1.9
47,21608894,Hang Linh,1.1,7.1,6.1,1
48,21721558,Duc Thanh,1.7,4.8,4.4,0.6
49,21866175,Xuon Minh,7.2,6.1,7.5,1.1
50,21916668,Khang Linh,4.1,5.5,6.5,1.5
