BANG DIEM MON Co so du lieu
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18073966,Doan Thu,3.2,6.8,6.7,1.1
2,18392307,Duong Khai ,2.6,3,3.0,0.2
3,18731481,Khang Ha,4.5,9.1,7.9,0.3
4,18786515,Phung Phuong,5,5.3,5.9,0.7
5,18454685,Hang Viet,3.9,7.8,7.7,1.2
6,18576401,Ha Vy,4.3,6.5,6.3,0.5
7,19036179,Hong Phuc,9.7,1,5.6,1.7
8,19134868,Quang Thien,6.7,8.6,9.2,1.3
9,19229453,Huong Thao,7,4.8,7.0,1.5
10,19332426,Minh Phuong,9.7,1.7,5.5,1.2
11,19344802,Quang Ton,5.9,0.7,3.6,1.1
12,19373334,Hieu Trung,4.3,6,7.1,1.7
13,19417271,Hang Vy,1.5,1.9,3.1,1.3
14,19531834,Huu Thanh,0.1,0.6,1.6,1.1
15,19638507,Mai Phuong,0.6,1.1,1.3,0.3
16,19644666,Phuong Trinh,3.7,5.4,6.5,1.7
17,19047770,Bao Thy,5.3,9.8,10.0,1.8
18,19135017,Viet Trinh,8.4,8.6,10.0,1.9
19,19245452,Tung Nguyen,1.3,5.9,5.5,1.2
20,19275546,Hang Vu,7.8,4,5.9,0.6
21,19314540,The Quang,4.9,5.7,5.9,0.5
22,19500287,Bo Phu,0.8,1.8,1.6,0.2
23,19577143,Duy Tung,5.9,7.6,9.0,2.0
24,19642929,Hieu Ngon,6,1.7,4.2,1.1
25,19690162,Huu Toan,5.2,8.1,7.6,0.4
26,19764598,Hieu Tue,8.4,0.3,4.6,1.6
27,21049462,Sy Hieu,3,1.1,3.2,1.5
28,21277923,Ngoc Hieu,1.4,4,3.9,0.8
29,21292201,Nam Khang,5,7.9,7.1,0.2
30,21470415,An Dung,1.9,0.1,1.1,0.4
31,21483671,Ngoc Hien,3.8,0.7,2.8,1.1
32,21627532,Thu Huyen,3.4,4.1,5.3,1.4
33,21643582,Quynh Nhi,5.4,1.6,2.9,0.0
34,21831801,Minh Thu,9.6,2.3,5.4,0.6
35,21895347,Tuan Hung,8.9,2.9,6.8,1.9
36,21912992,Tung Lom,7.3,9.1,10.0,1.5
37,21918891,Ngoc Khang,9.6,3.8,6.2,0.5
38,21137776,Thy Quynh,7.2,8.7,10.0,2.0
39,21147426,Mai Quynh,9.6,3.4,6.6,1.2
40,21164885,Ngoc Khang,4.3,8,7.0,0.2
41,21181182,Tung Chi,1.4,9.6,6.9,0.0
42,21320575,Vu Huy,2.3,2.9,3.7,1.0
43,21325480,Hai Dung,9.4,0.9,5.0,1.3
44,21338971,Minh Duc,5.4,0.7,3.9,1.7
45,21485029,Minh Quan,2.4,7.4,7.7,1.9
46,21515117,Duc Thien,6.7,8.7,9.7,1.7
47,21517162,Quynh Nhu,9.3,5.2,7.0,0.5
48,21604843,Huong Giang,9.5,9.6,10.0,1.5
49,21899750,Nhat Long,8.4,0.8,4.6,1.2
50,21916668,Khang Linh,6.7,3.5,4.9,0.3
