BANG DIEM MON Vat ly dai cuong 1
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,20194823,Viet Anh,7.5,4,6.1,1.0
2,20267088,Gia Minh,0.8,8.1,7.4,1.8
3,20336725,An Duong,5.9,1.2,3.2,0.5
4,20351130,Hien Anh,1,0.7,2.8,2.0
5,20356469,Duc Anh,1.7,5.5,5.6,1.3
6,20447470,Thoi Duong,7.7,6.6,7.6,0.7
7,20459666,Hang Anh,7.3,3.2,4.8,0.2
8,20491981,Phuong Chi,8.5,9.6,9.4,0.2
9,20614147,Tuan Anh,2.1,2.8,2.9,0.4
10,20651740,Gia Bao,5.1,8.3,8.8,1.6
11,20662635,Trang Anh,6.2,4.1,6.6,1.8
12,20918280,Tien Dung,8.7,9.1,9.0,0.1
13,20938041,Minh Chau,8.7,7.1,9.2,1.5
14,20949992,Hang My,4.4,0.1,3.1,1.6
15,20016044,Nhat Mai,1.5,5.3,5.7,1.7
16,20071941,Ha Linh,1.7,5.2,4.7,0.6
17,20085101,Thuy Linh,1.8,4.4,4.0,0.5
18,20212765,Gia Minh,4.5,3.8,5.3,1.3
19,20286136,Quoc Huy,9,9,10.0,1.0
20,20341942,Trung Phong,8.8,6.9,8.2,0.7
21,20459103,Hai Phong,3.6,2.5,3.1,0.2
22,20508886,Trong Minh,6.1,2.3,3.8,0.2
23,20559137,Ngoc Diep,3.1,1.2,1.9,0.1
24,20608314,Thuy Linh,3.3,3.2,3.7,0.4
25,20676652,Thuy Linh,3.9,3.3,4.7,1.2
26,20700835,Thuy Linh,5.3,5.3,6.8,1.5
27,20777456,Duc Duong,7.4,6.4,7.3,0.6
28,20916840,Bao Lion,3.7,3.2,4.6,1.2
29,21053440,Duc Hung,3.8,0.3,2.6,1.2
30,21062848,Gia Hon,4.5,6.6,7.2,1.3
31,21389961,Tung Bao,9.6,8.9,9.7,0.6
32,21555809,Diep Chi,7.1,2,4.8,1.1
33,21781492,Phu Sang,7.4,7.7,8.7,1.1
34,21797088,Tien Hung,1.6,8.5,7.4,1.2
35,21841259,Phuong Mai,6.9,9.3,8.5,0.0
36,21885961,Trung Nguyen,6.6,4.9,6.1,0.6
37,21999706,Quang Long,8.5,9.9,10.0,0.5
38,21110346,Quang Dung,3.1,7.5,6.7,0.7
39,21258452,Gia Hon,0.6,9,7.5,1.3
40,21323055,Phuong Ngoc,2.4,0.7,2.8,1.5
41,21329105,Hai Minh,3,5.6,5.7,0.9
42,21358053,Viet Duc,9.5,1.2,5.6,1.7
43,21376813,Duy Duc,8.5,6,7.7,0.9
44,21472735,Minh Tom,2.1,2.9,3.4,0.7
45,21543807,Duy Anh,9,2.6,4.8,0.0
46,21660782,Minh Phuong,1.8,5.3,5.1,0.9
47,21800492,Xuon Nam,2.2,1.2,1.8,0.3
48,21820139,Hai Lom,5.4,9.9,10.0,1.8
49,21826644,Trong Hieu,6.8,8.1,7.7,0.0
50,21972434,Yen Nhi,0.4,1.4,2.9,1.8
