BANG DIEM MON Triet Hoc Mac Lenin
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,19197795,Hai Minh,5.7,6.3,6.1,0.0
2,19199634,An Phu,4.6,5.5,6.7,1.5
3,19236912,Tuan Minh,4.5,1.0,3.7,1.6
4,19256419,Dang Phong,6.3,6.2,7.3,1.1
5,19334705,Ha Ngon,6.9,0.3,2.7,0.2
6,19358746,Duc Nam,3.2,7.1,6.8,1.0
7,19371248,Duc Phuc,8.1,4.3,6.4,0.8
8,19457600,Lan Nhi,3.3,7.5,7.3,1.2
9,19764058,Tien Long,6.1,2.0,4.7,1.3
10,19812224,Hang Lom,6.4,0.0,4.0,1.9
11,19900853,Tran Nam,5.7,6.0,6.1,0.2
12,19954165,Bao Nam,4.6,8.0,7.9,1.0
13,19041496,Khang My,6.4,4.6,6.1,0.9
14,19048800,Bo Khuyen,3.6,1.2,2.7,0.7
15,19064713,Thien Khiom,5.3,6.0,7.1,1.4
16,19172977,Minh Long,3.1,3.3,4.8,1.6
17,19289986,Ngoc Luong,5.4,1.3,4.6,1.9
18,19396074,Nhu Mai,9.8,4.1,6.4,0.4
19,19488514,Nam Khang,9.4,0.7,4.9,1.3
20,19523719,Ngoc Linh,7.8,5.8,6.5,0.0
21,19666211,Duy Minh,2.8,9.4,7.8,0.6
22,19674232,Phuong Linh,7.0,7.1,8.1,1.0
23,19865743,Ty Linh,9.9,9.2,9.9,0.5
24,19982947,Phuong Linh,9.9,0.9,4.4,0.5
25,20014631,Quang Ngoc,7.9,6.7,9.0,1.9
26,20040855,Phuong Thao,9.8,9.2,10.0,1.3
27,20080431,Thanh Trung,5.4,1.2,3.3,0.7
28,20155337,Dieu Thao,8.8,7.6,9.7,1.7
29,20184745,Minh Hang,9.8,3.5,6.2,0.6
30,20254616,Khang Vy,5.1,8.9,9.0,1.4
31,20273742,Huong Thao,9.3,6.3,7.6,0.2
32,20336725,An Duong,2.3,9.3,8.9,1.9
33,20350136,Trung Duc,6.8,2.9,6.2,1.9
34,20447470,Thoi Duong,4.3,1.7,3.1,0.6
35,20491981,Phuong Chi,8.1,5.1,6.4,0.3
36,20587524,Lo Hieu,8.2,3.9,6.6,1.3
37,20591770,Phuong Thao,6.5,8.7,8.0,0.1
38,20682571,Huong Giang,1.2,2.6,3.7,1.6
39,20711066,Yen Nhi,7.4,2.8,4.7,0.4
40,20727149,Tuan Hung,9.8,7.3,9.4,1.3
41,20776378,Huyen Thi,8.6,4.8,6.5,0.5
42,20777944,Hang Son,8.9,3.2,5.5,0.4
43,20810285,Hiep Hang,0.9,9.0,7.4,1.1
44,20836545,Xuon Hai,3.6,4.4,5.8,1.7
45,20854164,Ngon Ha,3.2,2.7,3.7,0.8
46,20867144,Manh Hung,7.2,6.9,8.5,1.5
47,20890189,Thien Truong,3.3,4.3,5.7,1.8
48,20900958,Gia Hung,6.2,7.3,8.0,1.1
49,20918280,Tien Dung,5.1,1.5,3.1,0.4
50,20938041,Minh Chau,3.2,9.0,7.7,0.6
51,20970532,Cung Thanh,5.7,7.5,7.6,0.7
52,20016044,Nhat Mai,9.7,3.8,6.7,0.9
53,20080431,Thanh Trung,0.4,0.4,1.5,1.2
54,20121773,Minh Thu,9.8,8.5,10.0,1.2
55,20154385,Truong Thinh,9.5,3.2,6.3,1.0
56,20154487,Minh Tro,3.3,9.0,8.7,1.5
57,20212765,Gia Minh,3.3,4.2,4.7,0.8
58,20227394,Tuan Phong,0.7,8.4,6.1,0.3
59,20228358,Thanh Tai,4.5,7.6,8.1,1.5
60,20254616,Khang Vy,0.4,0.4,1.4,1.0
61,20264550,Hai Nam,6.3,0.9,4.0,1.3
62,20287577,Kim Ngon,0.6,5.9,5.3,1.2
63,20293219,Khang Ngoc,4.9,8.8,8.3,0.8
64,20322064,Bao Ngon,4.8,6.1,6.8,1.1
65,20325220,Gia Nhu,1.9,4.4,5.3,1.7
66,20374529,Thanh Thao,6.2,5.0,7.0,1.6
67,20377205,Minh Tuong,7.5,7.0,8.8,1.6
68,20425332,Phuc Thinh,3.4,5.9,6.8,1.7
69,20508886,Trong Minh,8.6,5.2,7.0,0.7
70,20528679,Uyen Nhi,7.1,9.8,10.0,1.9
71,20543774,Hang Minh,5.2,0.2,2.8,0.9
72,20676652,Thuy Linh,4.6,5.9,6.7,1.2
73,20687047,Hang Phot,7.0,6.2,8.4,1.9
74,20693212,Minh Ngoc,3.6,8.0,8.3,1.8
75,20700835,Thuy Linh,2.6,1.3,2.9,1.2
76,20729594,Phuong Vy,0.5,7.7,6.6,1.3
77,20890189,Thien Truong,8.7,8.5,10.0,2.0
78,20947656,Quoc Trung,6.3,6.1,7.3,1.2
