BANG DIEM MON Kinh Te Dai Cuong
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18003585,Pham Ngoc,8.8,8.2,8.9,0.5
2,18097312,Nguyen Tien,0.3,6.7,5.5,0.9
3,18130165,Truong Hong,6.2,6.2,6.4,0.2
4,18171606,Vu Hang,3.5,4.0,4.9,1.1
5,18387620,Bui Lam,8.6,7.6,9.7,1.8
6,18455350,Ngu Kim,9.4,3.6,6.0,0.4
7,18525770,Vu Trong,4.5,1.8,4.5,1.8
8,18532480,Nguyen Hang,8.2,0.7,3.4,0.2
9,18559894,An Gia,9.5,2.8,5.6,0.6
10,18836702,Pham Hai,4.8,0.2,3.3,1.6
11,18842833,Pham Xuon,1.6,5.0,4.0,0.1
12,18039235,Ha Ngon,1.8,2.7,2.8,0.4
13,18164255,Duy Hung,6.8,4.5,6.2,0.9
14,18188411,Lo My,5.3,1.3,4.3,1.7
15,18279628,Quang Minh,1.3,8.2,6.8,0.9
16,18282876,Quoc Huy,5.0,0.3,2.0,0.1
17,18368243,Ha My,2.2,8.4,7.4,1.1
18,18428567,Minh Ngoc,1.4,4.5,3.7,0.2
19,18439555,Thanh Nam,7.3,6.2,8.1,1.5
20,18476380,Khang Linh,2.4,2.3,2.5,0.2
21,18617534,Duy Hung,2.6,6.7,6.3,0.9
22,18937023,Tien Nam,6.0,7.4,8.7,1.7
23,19006268,Minh Huyen,4.6,7.3,7.2,0.8
24,19061857,Duy Hai,3.1,8.6,7.5,0.8
25,19275430,Bao Hon,8.7,1.4,4.6,0.8
26,19334373,Duc Hieu,3.5,5.9,6.5,1.4
27,19362126,Cung Khanh,9.3,4.2,7.8,1.9
28,19406390,Duy Doan,3.0,3.0,3.4,0.4
29,19462142,Gia Hon,6.6,7.5,8.0,0.8
30,19611711,Gia Huy,0.2,2.4,3.2,1.5
31,19747706,Minh Hien,7.6,8.3,9.9,1.9
32,19764058,Tien Long,8.3,8.1,9.8,1.7
33,19812224,Hang Lom,9.0,4.0,7.3,1.6
34,19064713,Thien Khiom,6.6,0.7,3.0,0.3
35,19136661,Hang Hung,9.8,3.8,6.2,0.3
36,19216323,Huu Khang,1.4,9.0,6.7,0.2
37,19322365,The Duy,6.4,6.1,6.2,0.0
38,19423087,Vinh Hung,7.8,6.1,8.4,1.8
39,19434029,Thanh Huy,1.2,4.5,4.8,1.4
40,19488514,Nam Khang,4.9,4.7,5.9,1.1
41,19565670,Gia Hai,2.1,4.9,5.9,2.0
42,19630621,Gia Huy,8.0,7.3,8.0,0.5
43,19764316,Ngoc Ha,5.1,9.0,9.6,1.8
44,19871696,Binh Hung,5.6,3.5,4.5,0.3
45,21053440,Duc Hung,2.9,2.9,4.5,1.6
46,21062848,Gia Hon,3.5,1.9,3.2,0.8
47,21292201,Nam Khang,6.5,7.6,8.4,1.2
48,21389961,Tung Bao,8.6,5.7,7.2,0.5
49,21555809,Diep Chi,0.7,8.8,7.7,1.5
50,21781492,Phu Sang,2.4,0.6,1.9,0.6
51,21797088,Tien Hung,6.1,4.6,6.1,1.0
52,21841259,Phuong Mai,4.9,9.1,9.5,1.8
53,21885961,Trung Nguyen,3.9,6.9,7.2,1.3
54,21895347,Tuan Hung,1.2,4.7,4.0,0.5
55,21999706,Quang Long,0.8,8.3,5.8,0.0
56,21110346,Quang Dung,9.2,2.3,5.4,0.8
57,21147426,Mai Quynh,3.9,5.7,6.4,1.3
58,21258452,Gia Hon,2.0,5.8,5.1,0.7
59,21320575,Vu Huy,3.0,5.1,4.9,0.5
60,21323055,Phuong Ngoc,3.4,2.8,4.6,1.6
61,21329105,Hai Minh,4.8,0.2,2.1,0.3
62,21358053,Viet Duc,4.7,9.2,8.8,1.1
63,21376813,Duy Duc,1.4,5.7,5.5,1.2
64,21472735,Minh Tom,0.7,3.3,3.7,1.3
65,21543807,Duy Anh,7.4,9.0,10.0,1.7
66,21660782,Minh Phuong,3.0,2.4,4.1,1.5
67,21800492,Xuon Nam,0.7,4.8,4.4,1.0
68,21820139,Hai Lom,6.9,1.9,4.0,0.4
69,21826644,Trong Hieu,9.8,0.5,4.2,0.6
70,21972434,Yen Nhi,0.0,2.4,2.5,0.9
