BANG DIEM MON Nhap Mon Cong Nghe Thong Tin
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,20014631,Quang Ngoc,3.7,2.1,3.2,0.6
2,20040855,Phuong Thao,5.8,0.5,2.5,0.2
3,20080431,Thanh Trung,0.3,5.3,4.5,0.9
4,20155337,Dieu Thao,9.1,7.8,9.2,1.0
5,20254616,Khang Vy,3.2,3.7,4.9,1.3
6,20267088,Gia Minh,0.8,9.5,7.4,0.8
7,20273742,Huong Thao,8.7,6.9,9.3,1.8
8,20591770,Phuong Thao,8.5,7.4,8.7,1.0
9,20711066,Yen Nhi,2.1,9.1,7.8,1.0
10,20727149,Tuan Hung,0.2,5.0,5.4,2.0
11,20776378,Huyen Thi,4.2,5.3,6.3,1.4
12,20777944,Hang Son,1.9,3.6,4.2,1.1
13,20810285,Hiep Hang,1.9,4.3,4.8,1.3
14,20867144,Manh Hung,7.0,9.0,9.3,0.9
15,20890189,Thien Truong,6.9,3.8,6.0,1.2
16,20900958,Gia Hung,5.9,1.6,3.9,0.9
17,20949992,Hang My,3.7,3.1,3.6,0.3
18,20970532,Cung Thanh,4.0,1.0,3.9,1.9
19,20080431,Thanh Trung,1.6,1.9,3.5,1.7
20,20121773,Minh Thu,6.5,4.7,6.9,1.5
21,20154385,Truong Thinh,7.5,9.7,9.6,0.6
22,20154487,Minh Tro,4.3,5.4,6.4,1.4
23,20227394,Tuan Phong,9.2,5.3,7.0,0.5
24,20228358,Thanh Tai,9.9,9.9,10.0,0.8
25,20254616,Khang Vy,6.6,4.9,6.6,1.1
26,20325220,Gia Nhu,1.4,5.2,4.8,0.8
27,20341942,Trung Phong,8.7,3.1,5.7,0.7
28,20374529,Thanh Thao,5.9,0.2,2.6,0.6
29,20377205,Minh Tuong,9.1,6.6,8.1,0.7
30,20425332,Phuc Thinh,1.1,2.4,2.3,0.4
31,20459103,Hai Phong,2.1,8.9,7.1,0.5
32,20528679,Uyen Nhi,3.2,5.9,5.4,0.4
33,20687047,Hang Phot,5.7,2.4,4.1,0.6
34,20729594,Phuong Vy,4.0,9.9,9.1,1.1
35,20890189,Thien Truong,0.5,6.7,5.7,1.1
36,20947656,Quoc Trung,9.2,1.7,4.7,0.6
