BANG DIEM MON Cau Truc Du Lieu Va Giai Thuat
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,21049462,Sy Hieu,3.8,9.7,9.4,1.7
2,21053440,Duc Hung,6.8,1.9,5.1,1.5
3,21062848,Gia Hon,1.1,5.9,6.3,2.0
4,21277923,Ngoc Hieu,8.9,7.4,8.5,0.6
5,21292201,Nam Khang,4.7,3.7,4.4,0.4
6,21389961,Tung Bao,8.6,7.8,9.7,1.7
7,21470415,An Dung,9.5,4.8,7.0,0.6
8,21483671,Ngoc Hien,4.2,1.0,3.1,1.0
9,21555809,Diep Chi,5.4,5.6,5.7,0.2
10,21643582,Quynh Nhi,6.0,1.8,5.0,1.8
11,21781492,Phu Sang,3.7,0.8,2.4,0.6
12,21797088,Tien Hung,2.5,3.4,3.5,0.4
13,21831801,Minh Thu,8.6,9.1,9.0,0.0
14,21835786,Van Dat,8.4,8.7,9.3,0.7
15,21841259,Phuong Mai,6.3,5.2,5.6,0.1
16,21885961,Trung Nguyen,4.2,0.4,3.1,1.4
17,21895347,Tuan Hung,8.1,8.9,9.4,0.8
18,21918891,Ngoc Khang,0.4,1.3,1.8,0.9
19,21999706,Quang Long,9.4,3.9,7.7,1.9
20,21110346,Quang Dung,8.0,4.8,6.2,0.4
21,21137776,Thy Quynh,5.1,3.5,5.5,1.5
22,21147426,Mai Quynh,7.7,9.5,10.0,1.2
23,21164885,Ngoc Khang,8.8,2.4,5.3,0.8
24,21181182,Tung Chi,5.9,8.8,8.3,0.5
25,21258452,Gia Hon,8.6,9.4,10.0,0.9
26,21320575,Vu Huy,7.5,7.6,7.8,0.3
27,21323055,Phuong Ngoc,5.8,7.1,7.2,0.5
28,21325480,Hai Dung,3.1,4.2,5.6,1.8
29,21329105,Hai Minh,8.5,4.5,6.5,0.7
30,21338971,Minh Duc,3.1,3.9,5.5,1.9
31,21358053,Viet Duc,3.8,3.1,4.6,1.2
32,21376813,Duy Duc,3.0,5.7,5.9,1.1
33,21472735,Minh Tom,5.7,0.8,3.2,0.8
34,21485029,Minh Quan,9.8,9.7,10.0,1.1
35,21515117,Duc Thien,8.4,6.9,7.5,0.0
36,21543807,Duy Anh,5.5,2.3,4.9,1.6
37,21660782,Minh Phuong,4.0,3.1,5.0,1.6
38,21800492,Xuon Nam,6.8,0.1,3.8,1.5
39,21820139,Hai Lom,8.9,2.2,5.5,1.1
40,21826644,Trong Hieu,0.6,5.3,5.0,1.3
41,21899750,Nhat Long,4.5,0.2,2.5,0.8
42,21972434,Yen Nhi,2.8,2.2,3.2,0.7
