BANG DIEM MON Xac Suat Thong Ke
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,21025762,Thanh Huyen,6.0,4.4,5.3,0.4
2,21056759,Duc Huy,4.4,2.9,4.3,0.9
3,21259824,Anh Nhi,8.4,3.2,5.7,0.7
4,21339701,Ngoc Khang,6.0,3.0,4.3,0.3
5,21430642,Minh Khue,3.9,7.5,6.9,0.6
6,21454718,Duy Thoi,0.5,9.6,7.9,1.3
7,21490525,Trung Duc,2.0,9.2,6.9,0.1
8,21495650,Diep Lam,5.5,1.3,3.8,1.1
9,21582686,Dieu Huong,3.4,7.6,7.9,1.7
10,21622942,Phuong Hai,0.7,9.8,8.3,1.6
11,21647182,Tran Binh,4.2,0.3,3.4,1.8
12,21701860,Ngoc Anh,1.1,3.4,4.5,1.9
13,21809746,Tro Duc,5.9,0.1,3.4,1.4
14,21837607,Tuan Minh,6.6,0.4,2.6,0.1
15,21996569,Bao Ngoc,2.9,1.2,1.9,0.1
16,21067899,Duc Minh,9.4,9.7,10.0,0.9
17,21131552,Khang Ngoc,4.3,3.0,4.0,0.5
18,21172731,Ngon Anh,6.8,10.0,9.3,0.4
19,21173798,Duc Luong,2.8,3.8,5.1,1.6
20,21183762,Gia Huy,7.1,8.9,10.0,1.9
21,21224888,Duc Dat,0.3,5.1,5.5,2.0
22,21279012,Ngoc Huyen,7.6,6.3,8.6,1.9
23,21282497,Duc Anh,4.7,8.6,9.1,1.8
24,21517373,Thu Trang,9.2,1.7,5.0,0.8
25,21539733,Tung Duong,6.9,2.7,4.4,0.3
26,21587106,Duc Kion,5.6,8.6,8.7,1.1
27,21607738,Quang Hung,2.6,2.9,2.8,0.0
28,21608894,Hang Linh,5.7,9.5,8.7,0.4
29,21721558,Duc Thanh,1.8,1.2,2.9,1.5
30,21866175,Xuon Minh,2.5,1.8,2.9,0.8
