BANG DIEM MON The Duc
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18003585,Pham Ngoc,1.1,9.6,7.3,0.6
2,18051589,Nguyen Thanh,2.4,1.4,2.7,0.9
3,18097312,Nguyen Tien,9.7,2.0,5.7,1.1
4,18130165,Truong Hong,2.7,1.9,2.4,0.2
5,18256427,Vu Minh,4.2,7.4,8.0,1.7
6,18330520,Nhat Minh,5.1,7.9,7.9,1.0
7,18387620,Bui Lam,2.6,0.6,2.7,1.4
8,18455350,Ngu Kim,6.0,5.1,6.3,0.8
9,18475948,P Phuong,6.9,7.9,8.2,0.6
10,18525770,Vu Trong,8.6,3.0,6.6,1.7
11,18532480,Nguyen Hang,0.7,2.5,2.1,0.2
12,18534041,Nguyen Ngon,9.1,9.7,10.0,0.9
13,18555477,Nguyen Minh,7.8,7.1,8.5,1.1
14,18559894,An Gia,6.0,4.7,6.0,0.9
15,18646095,Do Duc,6.1,1.8,4.1,0.9
16,18766277,Pham Tue,6.2,5.8,6.5,0.5
17,18822345,Nguyen Anh,3.3,7.1,7.7,1.9
18,18836702,Pham Hai,6.7,1.4,3.7,0.6
19,18896577,Pham Nhat,4.0,5.0,5.3,0.6
20,18919395,Dao Thao,3.2,9.7,9.1,1.6
21,18923068,Vu Minh,9.6,5.3,7.9,1.2
22,18164255,Duy Hung,1.3,9.2,8.5,2.0
23,18188411,Lo My,5.0,4.6,5.5,0.8
24,18203138,Hong Duong,1.3,9.8,8.3,1.4
25,18268423,Duc Anh,2.8,5.9,5.5,0.7
26,18279628,Quang Minh,7.5,3.7,6.5,1.6
27,18282876,Quoc Huy,8.9,6.8,8.4,1.0
28,18293544,Ngoc Anh,5.1,5.7,7.0,1.5
29,18368243,Ha My,2.5,6.1,5.7,0.8
30,18439555,Thanh Nam,4.7,8.3,8.2,1.1
31,18476380,Khang Linh,7.5,1.0,3.7,0.5
32,18515647,Hang Gia,3.0,6.8,7.4,1.8
33,18526368,Phuong Anh,2.3,8.9,8.5,1.8
34,18599988,Hang Duy,0.0,3.3,3.5,1.3
35,18617534,Duy Hung,2.7,7.1,7.6,2.0
36,18647966,Duong Hang,6.2,5.2,7.1,1.6
37,18699488,Hang Hai,4.9,3.0,5.6,2.0
38,18712577,Von Ha,7.4,0.4,4.7,2.0
39,18726402,Quang Anh,6.0,1.9,4.0,0.8
40,18752186,Phuong Anh,9.5,0.8,4.0,0.3
41,18852264,Diep Anh,8.8,5.9,7.8,0.9
42,18937023,Tien Nam,2.7,1.7,3.4,1.3
43,19016277,Kim Cuong,5.9,7.6,8.9,1.9
44,19061857,Duy Hai,1.8,2.5,4.0,1.7
45,19075406,Bui Quynhainh,1.5,7.4,5.9,0.4
46,19122149,Phuong Anh,7.4,5.1,6.5,0.6
47,19161603,Hang Bao,6.8,1.2,4.6,1.5
48,19275430,Bao Hon,6.0,6.0,7.4,1.3
49,19334373,Duc Hieu,8.9,7.1,8.2,0.6
50,19382300,Viet Bao,3.2,8.3,6.7,0.1
51,19406390,Duy Doan,3.7,8.2,7.8,1.1
52,19413797,Anh Duy,5.5,8.4,8.6,1.2
53,19424135,Ngoc Chi,9.6,1.0,5.2,1.3
54,19437961,Trung Dung,2.8,7.0,6.7,1.1
55,19462142,Gia Hon,1.9,2.6,4.0,1.6
56,19514969,Nhat Duong,3.5,9.1,8.5,1.3
57,19747706,Minh Hien,1.0,2.4,2.2,0.3
58,19847684,Thy An,6.2,4.6,6.3,1.2
59,19972699,Gia Bao,6.7,5.8,6.7,0.6
60,19993561,Cung Duy,0.6,9.9,8.2,1.4
61,19018888,Duy Bao,6.8,9.7,9.3,0.5
62,19139282,Sy Dung,9.9,2.8,6.0,0.9
63,19285285,Minh Dung,0.1,1.5,2.5,1.5
64,19322365,The Duy,4.7,9.2,8.4,0.7
65,19338282,Thuy Chi,9.5,2.2,6.4,1.8
66,19344927,Thuy Anh,7.4,1.7,4.7,1.1
67,19415938,Ha An,4.1,8.7,7.9,0.7
68,19434029,Thanh Huy,1.8,7.7,6.0,0.3
69,19450978,Hang Anh,1.9,8.0,5.9,0.0
70,19497311,Tryc Anh,4.1,1.2,2.3,0.2
71,19565670,Gia Hai,4.8,9.8,9.1,0.9
72,19630621,Gia Huy,5.5,8.8,8.3,0.6
73,19702375,Thao Anh,2.4,3.9,4.0,0.6
74,19750083,The An,8.5,7.6,8.4,0.5
75,19764316,Ngoc Ha,5.5,5.6,5.7,0.1
76,19781978,Viet Cuong,9.2,1.3,5.9,1.9
77,19871696,Binh Hung,3.6,4.1,5.9,2.0
78,19982523,Lon Anh,7.0,2.0,5.1,1.4
