BANG DIEM MON Giao Duc Quoc Phong
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18003585,Pham Ngoc,9.3,9.5,10.0,1.4
2,18130165,Truong Hong,4.4,2.8,3.9,0.5
3,18161933,Bui Thao,5.2,9.1,8.2,0.4
4,18171606,Vu Hang,9.3,2.9,6.4,1.4
5,18522151,Hai Duc,3.0,8.0,7.8,1.4
6,18532480,Nguyen Hang,2.2,4.7,5.1,1.2
7,18571515,Nguyen Viet,1.9,7.1,6.6,1.3
8,18668703,Pham Hang,9.8,4.8,6.6,0.1
9,18842833,Pham Xuon,9.6,8.5,10.0,1.8
10,18870408,Duong Gia,6.0,6.3,7.2,1.0
11,18931483,Tran Thao,7.5,1.6,4.9,1.3
12,18976358,Nguyen Quynh,4.2,0.6,3.0,1.2
13,18039235,Ha Ngon,9.5,9.6,10.0,1.9
14,18188411,Lo My,7.4,4.8,7.4,1.8
15,18203684,Minh Phuong,9.7,1.5,5.2,1.0
16,18259927,Bao Ngoc,1.5,9.9,8.4,1.3
17,18311416,Duong Thanh,1.5,1.3,2.0,0.6
18,18428567,Minh Ngoc,6.6,2.2,3.8,0.2
19,18439555,Thanh Nam,5.3,7.4,8.5,1.8
20,18463978,Thien Ngoc,8.4,7.1,8.7,1.2
21,18558308,Duc Thanh,5.5,4.4,4.9,0.1
22,18937023,Tien Nam,9.7,7.4,9.0,0.8
23,18946149,Yen Nhi,4.2,3.7,4.5,0.7
24,18946221,Hai Son,4.8,6.8,6.4,0.2
25,19006268,Minh Huyen,0.6,1.3,2.6,1.5
26,19036179,Hong Phuc,6.7,7.2,9.0,2.0
27,19134868,Quang Thien,3.8,9.9,9.4,1.5
28,19197795,Hai Minh,8.0,0.3,4.3,1.4
29,19199634,An Phu,10.0,4.7,7.4,1.0
30,19229453,Huong Thao,8.3,9.6,9.7,0.6
31,19236912,Tuan Minh,9.5,7.2,8.1,0.2
32,19256419,Dang Phong,3.6,3.3,5.3,1.8
33,19332426,Minh Phuong,2.6,2.9,3.5,0.8
34,19334705,Ha Ngon,7.2,0.2,4.0,1.5
35,19344802,Quang Ton,2.3,3.3,3.9,1.0
36,19358746,Duc Nam,6.4,3.1,5.6,1.4
37,19362126,Cung Khanh,4.5,5.3,5.7,0.6
38,19371248,Duc Phuc,5.8,1.9,5.0,1.8
39,19457600,Lan Nhi,9.3,2.5,5.1,0.4
40,19531834,Huu Thanh,5.6,2.7,4.5,0.9
41,19611711,Gia Huy,0.5,0.5,1.4,0.9
42,19638507,Mai Phuong,6.8,7.2,8.6,1.5
43,19764058,Tien Long,0.7,0.2,0.7,0.3
44,19812224,Hang Lom,6.9,2.0,5.1,1.5
45,19900853,Tran Nam,3.6,6.9,6.9,1.1
46,19954165,Bao Nam,3.5,7.4,6.1,0.0
47,19041496,Khang My,10.0,9.0,9.6,0.3
48,19047770,Bao Thy,5.2,0.1,1.9,0.1
49,19048800,Bo Khuyen,5.8,5.6,6.5,0.9
50,19064713,Thien Khiom,2.7,5.3,4.9,0.5
51,19135017,Viet Trinh,3.0,6.0,5.8,0.7
52,19136661,Hang Hung,5.3,7.9,8.8,1.8
53,19172977,Minh Long,0.7,2.9,2.9,0.7
54,19216323,Huu Khang,4.8,6.6,7.6,1.6
55,19245452,Tung Nguyen,7.9,7.5,8.2,0.6
56,19289986,Ngoc Luong,9.0,5.8,8.8,1.9
57,19314540,The Quang,2.1,2.3,3.8,1.6
58,19396074,Nhu Mai,1.5,4.3,4.4,1.0
59,19423087,Vinh Hung,2.2,5.4,4.6,0.2
60,19488514,Nam Khang,0.6,3.4,4.3,1.9
61,19500287,Bo Phu,4.5,4.9,5.5,0.8
62,19523719,Ngoc Linh,3.2,2.4,4.4,1.7
63,19642929,Hieu Ngon,6.9,3.2,6.1,1.7
64,19666211,Duy Minh,2.6,9.7,7.6,0.3
65,19674232,Phuong Linh,1.2,4.5,4.3,0.9
66,19690162,Huu Toan,2.1,3.6,4.6,1.5
67,19865743,Ty Linh,1.0,8.2,7.3,1.5
68,19982947,Phuong Linh,5.6,5.6,6.1,0.5
69,20184745,Minh Hang,0.6,5.2,4.9,1.3
70,20350136,Trung Duc,2.5,7.9,8.1,2.0
71,20587524,Lo Hieu,2.0,8.0,6.7,0.6
72,20682571,Huong Giang,7.1,7.6,8.2,0.7
73,20836545,Xuon Hai,4.9,0.4,2.8,0.9
74,20854164,Ngon Ha,3.1,3.0,3.8,0.8
75,20264550,Hai Nam,4.4,5.6,6.4,1.2
76,20287577,Kim Ngon,2.8,6.8,7.1,1.6
77,20293219,Khang Ngoc,7.4,9.9,10.0,1.9
78,20322064,Bao Ngon,1.2,9.3,8.1,1.5
79,20543774,Hang Minh,5.4,6.9,7.2,0.8
80,20693212,Minh Ngoc,2.4,4.6,5.0,1.2
