BANG DIEM MON Mang May Tinh
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18042741,Nguyen The,7.1,7.5,8.9,1.5
2,18791614,Vu Anh,7.4,7.1,8.9,1.7
3,18133379,Minh Tro,6.9,5.1,6.4,0.7
4,18471790,Ha Trang,7.0,5.5,7.7,1.7
5,19197795,Hai Minh,8.0,8.9,8.7,0.1
6,19199634,An Phu,8.6,6.4,8.2,1.0
7,19236912,Tuan Minh,1.8,6.1,6.3,1.7
8,19256419,Dang Phong,1.1,2.9,3.4,1.1
9,19334705,Ha Ngon,1.4,3.7,4.8,1.9
10,19358746,Duc Nam,5.6,7.3,8.6,1.8
11,19371248,Duc Phuc,1.4,9.5,8.6,1.8
12,19457600,Lan Nhi,1.5,1.9,3.0,1.2
13,19900853,Tran Nam,9.5,9.6,10.0,1.4
14,19954165,Bao Nam,3.0,5.5,5.4,0.8
15,19041496,Khang My,3.4,6.0,5.3,0.1
16,19048800,Bo Khuyen,8.1,7.6,9.4,1.6
17,19172977,Minh Long,3.6,4.8,5.7,1.3
18,19289986,Ngoc Luong,1.6,6.2,4.7,0.1
19,19396074,Nhu Mai,9.2,9.6,10.0,0.6
20,19523719,Ngoc Linh,1.4,0.9,1.2,0.2
21,19666211,Duy Minh,0.0,9.3,7.6,1.4
22,19674232,Phuong Linh,9.7,7.3,10.0,1.9
23,19865743,Ty Linh,7.9,2.1,4.2,0.2
24,19982947,Phuong Linh,0.8,9.5,6.7,0.1
25,21049462,Sy Hieu,1.7,6.3,5.0,0.3
26,21277923,Ngoc Hieu,5.5,6.7,7.3,1.0
27,21292201,Nam Khang,9.5,5.2,7.4,0.8
28,21470415,An Dung,9.4,6.9,8.2,0.4
29,21470757,Hung Anh,9.0,7.5,9.1,1.2
30,21483671,Ngoc Hien,2.9,6.0,6.6,1.6
31,21627532,Thu Huyen,0.3,6.5,4.6,0.2
32,21643582,Quynh Nhi,3.0,3.1,4.3,1.2
33,21831801,Minh Thu,9.9,6.3,8.5,1.0
34,21835786,Van Dat,9.6,7.5,8.2,0.0
35,21895347,Tuan Hung,6.7,8.1,7.8,0.2
36,21912992,Tung Lom,0.6,3.6,4.3,1.7
37,21918891,Ngoc Khang,1.2,4.8,5.5,1.9
38,21137776,Thy Quynh,1.5,4.0,4.4,1.2
39,21147426,Mai Quynh,5.3,3.2,4.5,0.6
40,21164885,Ngoc Khang,3.8,2.0,3.3,0.7
41,21181182,Tung Chi,9.0,6.5,9.2,1.9
42,21320575,Vu Huy,9.1,0.8,3.7,0.2
43,21325480,Hai Dung,4.5,9.6,8.9,0.9
44,21338971,Minh Duc,7.9,1.1,3.6,0.3
45,21485029,Minh Quan,3.2,2.6,3.7,1.0
46,21515117,Duc Thien,3.5,8.7,7.8,0.8
47,21517162,Quynh Nhu,5.0,1.7,4.7,1.9
48,21604843,Huong Giang,7.5,7.6,8.1,0.5
49,21899750,Nhat Long,1.1,1.0,2.3,1.3
50,21916668,Khang Linh,4.3,4.1,5.5,1.3
