BANG DIEM MON He Dieu Hanh
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18042741,Nguyen The,1.0,3.7,2.8,0.0
2,18073966,Doan Thu,7.2,4.6,7.4,2.0
3,18786515,Phung Phuong,3.9,4.8,5.2,0.6
4,18791614,Vu Anh,5.2,5.6,7.3,1.8
5,18913825,Nguyen Hao,3.2,0.3,2.4,1.2
6,18133379,Minh Tro,7.2,0.8,4.4,1.5
7,18454685,Hang Viet,7.2,5.5,6.6,0.6
8,18471790,Ha Trang,8.8,1.8,5.2,1.0
9,18576401,Ha Vy,4.5,3.9,4.5,0.4
10,18679596,Hong Thien,4.5,2.6,5.0,1.8
11,19373334,Hieu Trung,8.5,7.6,8.5,0.6
12,19417271,Hang Vy,6.8,7.4,9.1,1.9
13,19644666,Phuong Trinh,6.6,8.7,8.2,0.2
14,19275546,Hang Vu,6.4,6.5,7.1,0.7
15,19577143,Duy Tung,9.6,1.5,4.9,0.7
16,19764598,Hieu Tue,9.6,7.2,9.6,1.7
17,21025762,Thanh Huyen,5.7,6.1,7.3,1.4
18,21056759,Duc Huy,4.3,5.0,6.2,1.5
19,21259824,Anh Nhi,10.0,6.7,8.8,1.0
20,21339701,Ngoc Khang,8.2,0.2,3.6,0.7
21,21430642,Minh Khue,6.0,3.7,4.7,0.2
22,21454718,Duy Thoi,4.9,1.4,3.3,0.8
23,21495650,Diep Lam,9.8,3.4,6.3,0.7
24,21582686,Dieu Huong,6.3,6.4,7.6,1.3
25,21647182,Tran Binh,1.0,3.2,3.7,1.2
26,21701860,Ngoc Anh,7.6,3.0,6.3,1.8
27,21809746,Tro Duc,2.5,1.7,3.1,1.1
28,21996569,Bao Ngoc,1.6,5.1,4.5,0.5
29,21067899,Duc Minh,2.2,7.4,7.0,1.3
30,21131552,Khang Ngoc,7.6,5.8,7.8,1.3
31,21172731,Ngon Anh,9.6,1.5,5.6,1.4
32,21173798,Duc Luong,5.8,2.7,5.2,1.5
33,21183762,Gia Huy,9.8,4.6,7.5,1.1
34,21224888,Duc Dat,6.2,5.2,6.2,0.7
35,21279012,Ngoc Huyen,2.1,1.2,1.9,0.4
36,21282497,Duc Anh,2.0,8.3,7.5,1.3
37,21539733,Tung Duong,9.5,1.1,5.8,1.9
38,21587106,Duc Kion,3.6,0.4,1.6,0.1
39,21607738,Quang Hung,9.4,4.2,6.0,0.1
40,21608894,Hang Linh,9.8,5.3,7.9,1.1
