BANG DIEM MON Nhap Mon Cong Nghe Phan Mem
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,18042741,Nguyen The,8.3,8.3,9.0,0.7
2,18073966,Doan Thu,8.0,5.8,7.6,1.1
3,18161933,Bui Thao,3.8,1.7,4.0,1.5
4,18171606,Vu Hang,0.4,7.1,4.9,0.1
5,18392307,Duong Khai ,9.6,4.8,7.0,0.6
6,18522151,Hai Duc,3.0,3.2,3.5,0.4
7,18571515,Nguyen Viet,8.4,3.7,5.5,0.2
8,18668703,Pham Hang,5.2,8.4,8.6,1.3
9,18731481,Khang Ha,0.7,6.1,4.5,0.3
10,18786515,Phung Phuong,0.3,7.4,6.9,1.9
11,18791614,Vu Anh,6.2,2.2,4.5,1.0
12,18842833,Pham Xuon,7.2,9.3,10.0,1.6
13,18870408,Duong Gia,0.1,3.3,3.6,1.3
14,18913825,Nguyen Hao,4.3,4.1,4.8,0.6
15,18931483,Tran Thao,6.7,7.4,7.6,0.4
16,18976358,Nguyen Quynh,3.9,2.6,5.0,2.0
17,18039235,Ha Ngon,9.4,3.1,6.6,1.3
18,18133379,Minh Tro,1.8,5.0,5.1,1.2
19,18203684,Minh Phuong,7.2,9.8,10.0,1.1
20,18259927,Bao Ngoc,7.9,4.5,6.2,0.6
21,18311416,Duong Thanh,5.1,4.4,4.9,0.3
22,18428567,Minh Ngoc,1.7,2.7,2.6,0.3
23,18454685,Hang Viet,8.7,8.6,10.0,1.5
24,18463978,Thien Ngoc,3.1,6.0,5.6,0.6
25,18471790,Ha Trang,5.3,9.3,9.1,1.1
26,18558308,Duc Thanh,4.9,0.8,3.6,1.5
27,18576401,Ha Vy,8.2,2.0,6.0,2.0
28,18679596,Hong Thien,9.3,9.2,9.3,0.0
29,18946149,Yen Nhi,7.9,5.3,7.0,0.9
30,18946221,Hai Son,7.7,0.5,3.6,0.8
31,19036179,Hong Phuc,5.8,6.7,7.9,1.5
32,19134868,Quang Thien,4.3,6.5,7.4,1.6
33,19229453,Huong Thao,4.0,6.1,6.5,1.1
34,19332426,Minh Phuong,0.7,7.9,7.1,1.6
35,19344802,Quang Ton,9.4,2.0,4.5,0.1
36,19373334,Hieu Trung,8.9,6.5,8.7,1.4
37,19417271,Hang Vy,5.8,0.1,2.9,0.9
38,19531834,Huu Thanh,5.4,9.3,9.8,1.7
39,19638507,Mai Phuong,4.8,9.5,9.0,1.1
40,19644666,Phuong Trinh,8.5,7.5,9.4,1.5
41,19047770,Bao Thy,6.9,2.9,5.3,1.1
42,19135017,Viet Trinh,6.5,2.9,4.4,0.2
43,19245452,Tung Nguyen,3.2,7.9,7.3,0.9
44,19275546,Hang Vu,3.6,3.6,5.2,1.5
45,19314540,The Quang,1.6,8.5,8.0,1.8
46,19500287,Bo Phu,8.6,2.5,6.0,1.4
47,19577143,Duy Tung,5.3,9.3,8.2,0.2
48,19642929,Hieu Ngon,0.3,3.0,2.2,0.1
49,19690162,Huu Toan,0.2,9.2,7.0,0.8
50,19764598,Hieu Tue,0.9,9.7,7.2,0.4
