BANG DIEM MON Co So Tri Tue Nhan Tao
NO,ID,NAME,MIDTERM MARK,FINAL MARK,TOTAL MARK,OTHER MARK
1,20184745,Minh Hang,0.7,8.8,8.0,2.0
2,20194823,Viet Anh,3.3,6.5,6.5,1.1
3,20267088,Gia Minh,3.6,1.9,2.5,0.1
4,20336725,An Duong,2.1,9.8,7.5,0.3
5,20350136,Trung Duc,8.3,3.8,6.9,1.6
6,20351130,Hien Anh,3.8,6.1,7.2,1.9
7,20356469,Duc Anh,8.5,1.0,5.2,1.7
8,20447470,Thoi Duong,3.7,8.1,7.9,1.3
9,20459666,Hang Anh,0.5,3.0,3.7,1.6
10,20491981,Phuong Chi,7.0,1.0,3.7,0.8
11,20587524,Lo Hieu,3.1,4.2,3.8,0.1
12,20614147,Tuan Anh,3.1,8.2,7.2,0.7
13,20651740,Gia Bao,0.9,2.4,3.7,1.8
14,20662635,Trang Anh,2.5,8.0,7.8,1.6
15,20682571,Huong Giang,8.7,4.9,8.1,1.9
16,20727149,Tuan Hung,2.9,2.7,4.3,1.6
17,20810285,Hiep Hang,7.3,8.6,8.7,0.6
18,20836545,Xuon Hai,7.5,5.8,7.2,0.9
19,20854164,Ngon Ha,1.6,5.8,5.2,0.8
20,20867144,Manh Hung,3.4,8.1,7.0,0.4
21,20900958,Gia Hung,5.1,3.2,5.5,1.7
22,20918280,Tien Dung,3.1,3.0,3.2,0.1
23,20938041,Minh Chau,8.3,6.4,8.5,1.4
24,20949992,Hang My,9.5,3.1,5.9,0.7
25,20016044,Nhat Mai,6.0,5.6,7.2,1.4
26,20071941,Ha Linh,3.2,3.5,3.4,0.0
27,20085101,Thuy Linh,0.4,4.5,3.9,0.8
28,20212765,Gia Minh,0.1,6.9,6.1,1.4
29,20227394,Tuan Phong,5.1,7.5,7.1,0.4
30,20264550,Hai Nam,2.0,7.6,6.5,0.8
31,20286136,Quoc Huy,5.0,6.8,8.1,1.8
32,20287577,Kim Ngon,4.5,8.8,7.7,0.3
33,20293219,Khang Ngoc,4.0,4.0,5.6,1.6
34,20322064,Bao Ngon,3.9,8.5,7.7,0.7
35,20325220,Gia Nhu,7.3,6.3,7.4,0.8
36,20341942,Trung Phong,2.0,9.5,7.0,0.0
37,20459103,Hai Phong,8.7,1.5,5.3,1.4
38,20508886,Trong Minh,5.1,0.7,2.4,0.2
39,20528679,Uyen Nhi,3.9,8.3,8.4,1.6
40,20543774,Hang Minh,2.7,8.8,7.4,0.7
41,20559137,Ngoc Diep,6.3,6.3,6.9,0.6
42,20608314,Thuy Linh,4.5,7.5,7.2,0.7
43,20676652,Thuy Linh,9.8,2.3,5.4,0.6
44,20687047,Hang Phot,1.4,8.0,5.8,0.0
45,20693212,Minh Ngoc,0.8,4.4,4.4,1.1
46,20700835,Thuy Linh,9.4,0.1,4.7,1.5
47,20777456,Duc Duong,1.9,7.0,5.8,0.5
48,20916840,Bao Lion,4.6,6.6,7.3,1.4
